actor_slug,name,category,description,long_description,address,postal_code,county,county_slug,municipality,municipality_slug,city,area,lat,lng,phone,email,website,instagram,opening_hours,opening_hours_osm,tags,benefits,how_to_use,image,nationwide,service_area_county_slugs,service_area_municipality_slugs
guldsmedkleiva-brukt-antikk-grimstad,Guldsmedkleiva Brukt & Antikk,brukt,Bruktbutikk med varer som får nytt liv.,Guldsmedkleiva Brukt & Antikk i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Skolegaten 5,4876,Agder,agder,Grimstad,grimstad,Grimstad,,58.3418564,8.5933193,99045461,,https://www.facebook.com/share/17jcXh28tF/,,mandag: Stengt|tirsdag: Stengt|onsdag: 12:00-16:00|torsdag: Stengt|fredag: 12:00-17:00|lørdag: 11:00-16:00|søndag: Stengt,Mo off; Tu off; We 12:00-16:00; Th off; Fr 12:00-17:00; Sa 11:00-16:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
nms-gjenbruk-risor-risor,NMS Gjenbruk Risør,brukt,Bruktbutikk med varer som får nytt liv.,NMS Gjenbruk Risør i Risør bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Storgata 2-4,4950,Agder,agder,Risør,risor,Risør,,58.7213594,9.2327193,40445423,,https://www.nmsgjenbruk.no/butikkene-vare/risor-f6e2b,,mandag: Stengt|tirsdag: 11:00-15:00|onsdag: 11:00-15:00|torsdag: 11:00-15:00|fredag: 11:00-15:00|lørdag: 11:00-14:00|søndag: Stengt,Mo off; Tu 11:00-15:00; We 11:00-15:00; Th 11:00-15:00; Fr 11:00-15:00; Sa 11:00-14:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
fretex-bruktbutikk-risor,Fretex bruktbutikk,brukt,Bruktbutikk med varer som får nytt liv.,Fretex bruktbutikk i Risør bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Øvregata 31,4950,Agder,agder,Risør,risor,Risør,,58.72023050000001,9.2337926,23681170,,https://www.fretex.no/handle/finn-butikk/fretex-risor/,,mandag: Stengt|tirsdag: 11:00-15:00|onsdag: 11:00-15:00|torsdag: 11:00-15:00|fredag: 11:00-15:00|lørdag: 11:00-14:00|søndag: Stengt,Mo off; Tu 11:00-15:00; We 11:00-15:00; Th 11:00-15:00; Fr 11:00-15:00; Sa 11:00-14:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
nms-gjenbruk-evje-evje,NMS Gjenbruk Evje,brukt,Bruktbutikk med varer som får nytt liv.,NMS Gjenbruk Evje i Evje bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Kinovegen 16,4735,Agder,agder,Evje,evje,Evje,,58.585007,7.801384,40413454,,http://www.nmsgjenbruk.no/butikkene-vare/evje-dc379,,mandag: Stengt|tirsdag: 11:00-16:00|onsdag: 11:00-16:00|torsdag: 11:00-16:00|fredag: 11:00-16:00|lørdag: 11:00-14:00|søndag: Stengt,Mo off; Tu 11:00-16:00; We 11:00-16:00; Th 11:00-16:00; Fr 11:00-16:00; Sa 11:00-14:00; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
sjappa-bruktutsalg-evje,Sjappa - Bruktutsalg,brukt,Bruktbutikk med varer som får nytt liv.,Sjappa - Bruktutsalg i Evje bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Syrtveit 10,4735,Agder,agder,Evje,evje,Evje,,58.633135800000005,7.817930800000001,,,,,,,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
unik-gaver-gjenbruk-evje,UNIK - gaver & gjenbruk,brukt,Bruktbutikk med varer som får nytt liv.,UNIK - gaver & gjenbruk i Evje bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Nils Heglands veg 65,4735,Agder,agder,Evje,evje,Evje,,58.587196799999994,7.806523499999999,90806061,,https://www.facebook.com/UnikEvje,,mandag: 10:00-16:00|tirsdag: 10:00-16:00|onsdag: 10:00-16:00|torsdag: 10:00-16:00|fredag: 10:00-17:00|lørdag: 10:00-15:00|søndag: Stengt,Mo 10:00-16:00; Tu 10:00-16:00; We 10:00-16:00; Th 10:00-16:00; Fr 10:00-17:00; Sa 10:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
brukt-elsket-vennesla,Brukt & Elsket,brukt,Bruktbutikk med varer som får nytt liv.,Brukt & Elsket i Vennesla bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Venneslavegen 173,4708,Agder,agder,Vennesla,vennesla,Vennesla,,58.2381451,7.939454,97339398,,,,mandag: Stengt|tirsdag: Stengt|onsdag: 11:00-15:00|torsdag: 12:00-17:00|fredag: 11:00-15:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu off; We 11:00-15:00; Th 12:00-17:00; Fr 11:00-15:00; Sa 11:00-15:00; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
kontakten-bruktbutikk-vennesla,Kontakten Bruktbutikk,brukt,Bruktbutikk med varer som får nytt liv.,Kontakten Bruktbutikk i Vennesla bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Trekanten senter,4700,Agder,agder,Vennesla,vennesla,Vennesla,,58.2716761,7.9692145000000005,38156000,,,,mandag: 11:00-16:00|tirsdag: 11:00-16:00|onsdag: Stengt|torsdag: 11:00-17:00|fredag: Stengt|lørdag: Stengt|søndag: Stengt,Mo 11:00-16:00; Tu 11:00-16:00; We off; Th 11:00-17:00; Fr off; Sa off; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
setesdal-husflid-valle,Setesdal Husflid,brukt,Bruktbutikk med varer som får nytt liv.,Setesdal Husflid i Valle bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Kjellebergsvegen 3,4747,Agder,agder,Valle,valle,Valle,,59.212309999999995,7.5324835000000006,47650495,,http://www.setesdalhusflid.no/,,mandag: Stengt|tirsdag: Stengt|onsdag: 10:00-16:00|torsdag: 10:00-16:00|fredag: 10:00-16:00|lørdag: 10:00-15:00|søndag: Stengt,Mo off; Tu off; We 10:00-16:00; Th 10:00-16:00; Fr 10:00-16:00; Sa 10:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
vennesla-gjenbruk-vennesla,Vennesla Gjenbruk,brukt,Bruktbutikk med varer som får nytt liv.,Vennesla Gjenbruk i Vennesla bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Venneslavegen 259,4708,Agder,agder,Vennesla,vennesla,Vennesla,,58.260740899999995,7.9722814,,,,,mandag: Døgnåpent|tirsdag: Døgnåpent|onsdag: Døgnåpent|torsdag: Døgnåpent|fredag: Døgnåpent|lørdag: Døgnåpent|søndag: Døgnåpent,,home goods store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
setesdal-miljo-gjenvinning-iks-evje,Setesdal Miljø & Gjenvinning IKS,brukt,Bruktbutikk med varer som får nytt liv.,Setesdal Miljø & Gjenvinning IKS i Evje bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Syrtveit,4735,Agder,agder,Evje,evje,Evje,,58.6233017,7.798601799999999,37931700,,http://www.smg-iks.no/,,mandag: 08:00-14:30|tirsdag: 08:00-14:30|onsdag: 08:00-14:30|torsdag: 08:00-19:00|fredag: 08:00-14:30|lørdag: Stengt|søndag: Stengt,Mo 08:00-14:30; Tu 08:00-14:30; We 08:00-14:30; Th 08:00-19:00; Fr 08:00-14:30; Sa off; Su off,service,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
sareptas-brukthandel-froland,Sareptas brukthandel,brukt,Bruktbutikk med varer som får nytt liv.,Sareptas brukthandel i Froland bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Røyslandsbygget,4820,Agder,agder,Froland,froland,Froland,,58.508165700000006,8.630455399999999,92647403,,,,mandag: 12:00-17:00|tirsdag: 12:00-17:00|onsdag: 12:00-17:00|torsdag: 12:00-17:00|fredag: 12:00-17:00|lørdag: 12:00-15:00|søndag: Stengt,Mo 12:00-17:00; Tu 12:00-17:00; We 12:00-17:00; Th 12:00-17:00; Fr 12:00-17:00; Sa 12:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
verditorget-nedenes,Verditorget,brukt,Bruktbutikk med varer som får nytt liv.,Verditorget i Nedenes bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Vesterveien 762,4823,Agder,agder,Nedenes,nedenes,Nedenes,,58.4132988,8.6984148,47932622,,http://www.facebook.com/Gjenbruksbutikken,,mandag: 10:00-16:00|tirsdag: 10:00-16:00|onsdag: 10:00-16:00|torsdag: 10:00-16:00|fredag: 10:00-16:00|lørdag: 10:00-15:00|søndag: Stengt,Mo 10:00-16:00; Tu 10:00-16:00; We 10:00-16:00; Th 10:00-16:00; Fr 10:00-16:00; Sa 10:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
hjembu-gard-as-risor,Hjembu gård AS,brukt,Bruktbutikk med varer som får nytt liv.,Hjembu gård AS i Risør bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Hjembuveien 15,4950,Agder,agder,Risør,risor,Risør,,58.7226198,9.0980554,97010100,,http://www.hjembu.no/,,mandag: 09:00-21:00|tirsdag: 09:00-21:00|onsdag: 09:00-21:00|torsdag: 09:00-21:00|fredag: 09:00-21:00|lørdag: 09:00-21:00|søndag: 09:00-21:00,Mo 09:00-21:00; Tu 09:00-21:00; We 09:00-21:00; Th 09:00-21:00; Fr 09:00-21:00; Sa 09:00-21:00; Su 09:00-21:00,food store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
rosseland-bruktbutikk-brennasen,Rosseland Bruktbutikk,brukt,Bruktbutikk med varer som får nytt liv.,Rosseland Bruktbutikk i Brennåsen bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Rosselandsvegen 6,4647,Agder,agder,Brennåsen,brennasen,Brennåsen,,58.1352981,7.8567226,,,,,mandag: Stengt|tirsdag: Stengt|onsdag: Stengt|torsdag: 11:00-16:00|fredag: 11:00-16:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu off; We off; Th 11:00-16:00; Fr 11:00-16:00; Sa 11:00-15:00; Su off,store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
greipstad-bruktbutikk-brennasen,Greipstad Bruktbutikk,brukt,Bruktbutikk med varer som får nytt liv.,Greipstad Bruktbutikk i Brennåsen bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Brennåsmoen,4647,Agder,agder,Brennåsen,brennasen,Brennåsen,,58.138394399999996,7.855938399999999,90732101,,https://m.facebook.com/Greipstad-Bruktbutikk-177115600632,,mandag: Stengt|tirsdag: 12:00-16:00|onsdag: 12:00-16:00|torsdag: 12:00-16:00|fredag: 12:00-16:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu 12:00-16:00; We 12:00-16:00; Th 12:00-16:00; Fr 12:00-16:00; Sa 11:00-15:00; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
din-handel-arendal-arendal,Din Handel Arendal,brukt,Bruktbutikk med varer som får nytt liv.,Din Handel Arendal i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Stoaveien 5B,4848,Agder,agder,Arendal,arendal,Arendal,,58.4603482,8.7131546,97157256,,https://dinhandel.com/,,mandag: 10:00-17:00|tirsdag: 10:00-17:00|onsdag: 10:00-17:00|torsdag: 10:00-19:00|fredag: 10:00-17:00|lørdag: 10:00-16:00|søndag: Stengt,Mo 10:00-17:00; Tu 10:00-17:00; We 10:00-17:00; Th 10:00-19:00; Fr 10:00-17:00; Sa 10:00-16:00; Su off,home goods store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
galleri-normisjon-arendal-arendal,Galleri Normisjon Arendal,brukt,Bruktbutikk med varer som får nytt liv.,Galleri Normisjon Arendal i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Nordbødalen 2,4843,Agder,agder,Arendal,arendal,Arendal,,58.47362640000001,8.7882321,37256804,,https://www.gallerinormisjon.no/galleri-arendal/,,mandag: Stengt|tirsdag: Stengt|onsdag: 11:00-16:00|torsdag: Stengt|fredag: Stengt|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu off; We 11:00-16:00; Th off; Fr off; Sa 11:00-15:00; Su off,thrift store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
brukbar-arendal,Brukbar,brukt,Bruktbutikk med varer som får nytt liv.,Brukbar i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Kristian Birkelands trasé 26,4849,Agder,agder,Arendal,arendal,Arendal,,58.503224,8.812683,37058800,,http://www.agderrenovasjon.no/,,mandag: 10:00-17:00|tirsdag: Stengt|onsdag: 10:00-17:00|torsdag: 10:00-17:00|fredag: Stengt|lørdag: Stengt|søndag: Stengt,Mo 10:00-17:00; Tu off; We 10:00-17:00; Th 10:00-17:00; Fr off; Sa off; Su off,clothing store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
pureinnocent-arendal,PureInnocent,brukt,Bruktbutikk med varer som får nytt liv.,PureInnocent i Arendal bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Torsbuklev 9,4846,Agder,agder,Arendal,arendal,Arendal,,58.4786206,8.7588305,45536760,,,,mandag: 08:00-21:00|tirsdag: 08:00-21:00|onsdag: 08:00-21:00|torsdag: 08:00-21:00|fredag: 08:00-21:00|lørdag: 09:00-18:00|søndag: Stengt,Mo 08:00-21:00; Tu 08:00-21:00; We 08:00-21:00; Th 08:00-21:00; Fr 08:00-21:00; Sa 09:00-18:00; Su off,clothing store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
karusellen-grimstad,Karusellen,brukt,Bruktbutikk med varer som får nytt liv.,Karusellen i Grimstad bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Skolegaten 5,4879,Agder,agder,Grimstad,grimstad,Grimstad,,58.3418564,8.5933193,99320891,,https://www.facebook.com/frabarntilbarn,,mandag: Stengt|tirsdag: Stengt|onsdag: Stengt|torsdag: 12:00-16:00|fredag: 12:00-16:00|lørdag: 11:00-15:00|søndag: Stengt,Mo off; Tu off; We off; Th 12:00-16:00; Fr 12:00-16:00; Sa 11:00-15:00; Su off,home goods store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
karo-og-jossi-s-fortryllende-lekebutikk-risor,Karo og Jossi´s fortryllende lekebutikk,brukt,Bruktbutikk med varer som får nytt liv.,Karo og Jossi´s fortryllende lekebutikk i Risør bidrar til en mer sirkulær økonomi. Bruktbutikk med varer som får nytt liv. Stedet er hentet fra Google Places og bør verifiseres før publisering.,Havnegata 6,4950,Agder,agder,Risør,risor,Risør,,58.72100789999999,9.2330733,98096530,,http://www.karoogjossi.no/,,mandag: 11:00-16:30|tirsdag: 11:00-16:30|onsdag: 11:00-16:30|torsdag: 11:00-18:00|fredag: 11:00-16:30|lørdag: 10:00-15:00|søndag: Stengt,Mo 11:00-16:30; Tu 11:00-16:30; We 11:00-16:30; Th 11:00-18:00; Fr 11:00-16:30; Sa 10:00-15:00; Su off,toy store,Bidrar til sirkulær økonomi|Forlenger levetiden på varer|Lokal aktør,Besøk stedet|Spør om tilbud|Velg brukt eller reparasjon,,false,,
